Timestamp,Math class,Varsity athlete,Score,
9/14/2020 14:16:53,AP Statistics - 10th Period,Yes,86,
9/14/2020 14:17:04,AP Statistics - 10th Period,Yes,81,
9/14/2020 14:17:08,AP Statistics - 10th Period,Yes,75,
9/14/2020 14:17:13,AP Statistics - 10th Period,Yes,69,
9/14/2020 14:17:12,AP Statistics - 10th Period,Yes,55,
9/14/2020 14:17:02,AP Statistics - 10th Period,Yes,50,
9/14/2020 14:17:00,AP Statistics - 10th Period,Yes,47,
9/14/2020 14:17:05,AP Statistics - 10th Period,Yes,47,
9/14/2020 14:17:18,AP Statistics - 10th Period,Yes,34,
9/14/2020 14:17:36,AP Statistics - 10th Period,No,69,
9/14/2020 14:16:53,AP Statistics - 10th Period,No,50,
9/14/2020 14:17:28,AP Statistics - 10th Period,No,32,
9/14/2020 10:52:05,AP Statistics - 3rd Period,Yes,117,
9/14/2020 10:50:29,AP Statistics - 3rd Period,Yes,89,
9/14/2020 10:50:21,AP Statistics - 3rd Period,Yes,72,
9/14/2020 10:51:00,AP Statistics - 3rd Period,Yes,72,
9/14/2020 10:50:39,AP Statistics - 3rd Period,Yes,69,
9/14/2020 10:50:44,AP Statistics - 3rd Period,Yes,68,
9/14/2020 10:50:33,AP Statistics - 3rd Period,Yes,67,
9/14/2020 10:50:38,AP Statistics - 3rd Period,Yes,63,
9/14/2020 10:51:18,AP Statistics - 3rd Period,Yes,50,
9/14/2020 10:49:57,AP Statistics - 3rd Period,No,106,
9/14/2020 10:50:35,AP Statistics - 3rd Period,No,92,
9/14/2020 10:50:07,AP Statistics - 3rd Period,No,88,
9/14/2020 10:51:37,AP Statistics - 3rd Period,No,67,
9/14/2020 10:51:07,AP Statistics - 3rd Period,No,66,
9/14/2020 14:17:00,AP Statistics - 3rd Period,No,43,
9/14/2020 9:27:43,Math Modeling,Yes,130,
9/14/2020 9:26:45,Math Modeling,Yes,102,
9/14/2020 9:27:07,Math Modeling,Yes,99,
9/14/2020 9:26:58,Math Modeling,Yes,80,
9/14/2020 9:27:19,Math Modeling,Yes,55,
9/14/2020 9:27:44,Math Modeling,No,145,
9/14/2020 9:27:08,Math Modeling,No,141,
9/14/2020 9:26:52,Math Modeling,No,127,
9/14/2020 9:26:34,Math Modeling,No,0,
9/14/2020 13:33:55,Precalculus,Yes,60,
9/14/2020 13:35:10,Precalculus,Yes,56,
9/14/2020 13:33:46,Precalculus,Yes,55,
9/14/2020 13:35:25,Precalculus,Yes,40,
9/14/2020 13:34:27,Precalculus,Yes,39,
9/14/2020 13:34:22,Precalculus,Yes,34,
9/14/2020 13:35:15,Precalculus,Yes,34,
9/14/2020 13:34:22,Precalculus,Yes,33,
9/14/2020 13:33:52,Precalculus,Yes,19,
9/14/2020 13:35:41,Precalculus,Yes,19,
9/14/2020 13:34:15,Precalculus,Yes,0,
9/14/2020 13:35:00,Precalculus,No,57,
9/14/2020 13:35:04,Precalculus,No,54,
9/14/2020 13:34:18,Precalculus,No,36,
9/14/2020 13:35:09,Precalculus,No,36,
9/14/2020 13:35:18,Precalculus,No,24,
9/14/2020 13:34:50,Precalculus,No,0,
9/14/2020 13:34:54,Precalculus,No,0,
